PairKey,BaseCaseID,VariantCaseID,BaseSelectedResponseType,VariantSelectedResponseType,ResponseTypeChanged,BaseTopScore,VariantTopScore,BaseMargin,VariantMargin,BaseStructureType,VariantStructureType,BaseEnergyProfile,VariantEnergyProfile
H44_AnchorLed_Flat,Base_H44_AnchorLed_Flat,Variant_H44_AnchorLed_Flat,Complement,Complement,False,6,6,0.875,0.875,AnchorLed,AnchorLed,Flat,Flat
H44_AnchorLed_Increasing,Base_H44_AnchorLed_Increasing,Variant_H44_AnchorLed_Increasing,Complement,Contrast,True,4.5,3.875,1.375,0.875,AnchorLed,AnchorLed,Increasing,Increasing
H44_BackLoaded_AccentedEnding,Base_H44_BackLoaded_AccentedEnding,Variant_H44_BackLoaded_AccentedEnding,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H44_BackLoaded_Flat,Base_H44_BackLoaded_Flat,Variant_H44_BackLoaded_Flat,Mirror,Mirror,False,6.375,6.375,1,1,BackLoaded,BackLoaded,Flat,Flat
H44_BackLoaded_Increasing,Base_H44_BackLoaded_Increasing,Variant_H44_BackLoaded_Increasing,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H44_Clustered_AccentedEnding,Base_H44_Clustered_AccentedEnding,Variant_H44_Clustered_AccentedEnding,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Clustered,Clustered,AccentedEnding,AccentedEnding
H44_Clustered_Flat,Base_H44_Clustered_Flat,Variant_H44_Clustered_Flat,Mirror,Complement,True,5.25,4.5,0,0.375,Clustered,Clustered,Flat,Flat
H44_Clustered_Increasing,Base_H44_Clustered_Increasing,Variant_H44_Clustered_Increasing,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Clustered,Clustered,Increasing,Increasing
H44_Even_AccentedEnding,Base_H44_Even_AccentedEnding,Variant_H44_Even_AccentedEnding,Complement,Complement,False,4.5,4.5,1.375,1.375,Even,Even,AccentedEnding,AccentedEnding
H44_Even_Flat,Base_H44_Even_Flat,Variant_H44_Even_Flat,Complement,Complement,False,6.75,6,0.5,0.875,Even,Even,Flat,Flat
H44_Even_Increasing,Base_H44_Even_Increasing,Variant_H44_Even_Increasing,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Even,Even,Increasing,Increasing
H44_FrontLoaded_AccentedEnding,Base_H44_FrontLoaded_AccentedEnding,Variant_H44_FrontLoaded_AccentedEnding,Mirror,Mirror,False,6.375,6.375,1,1,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H44_FrontLoaded_Flat,Base_H44_FrontLoaded_Flat,Variant_H44_FrontLoaded_Flat,Complement,Complement,False,6,6,0.875,0.875,FrontLoaded,FrontLoaded,Flat,Flat
H44_FrontLoaded_Increasing,Base_H44_FrontLoaded_Increasing,Variant_H44_FrontLoaded_Increasing,Mirror,Mirror,False,6.375,6.375,1,1,FrontLoaded,FrontLoaded,Increasing,Increasing
